Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
22:53:20,23:06:45,18650,18655,782
22:53:20,23:06:45,18655,18660,0
23:06:55,23:13:10,18655,18650,189
23:13:15,23:17:45,18655,18660,212
23:18:00,23:29:55,18655,18650,314
23:30:00,23:30:20,18650,18645,65
23:30:25,23:32:45,18645,18640,197
23:32:50,23:32:50,18640,18635,26
23:32:55,23:36:50,18635,18630,188
23:36:55,23:39:35,18630,18625,396
23:36:55,23:39:35,18625,18620,0
23:39:40,23:40:35,18625,18630,48
23:40:40,23:44:30,18625,18620,145
23:44:50,23:58:05,18625,18630,377
23:58:10,0:09:55,18630,18635,392
0:10:00,0:10:15,18630,18625,200
0:10:20,0:10:35,18630,18635,42
0:10:40,0:10:55,18635,18640,22
0:11:05,0:35:25,18635,18630,551
0:35:35,0:43:55,18635,18640,257
0:44:30,0:46:20,18640,18645,85
0:46:25,1:05:15,18645,18650,483
1:05:20,1:15:55,18650,18655,347
1:16:00,1:33:10,18650,18645,512
1:33:15,1:54:45,18645,18640,783
1:54:50,2:04:50,18645,18650,804
2:04:55,2:05:05,18645,18640,45
2:05:10,2:08:30,18640,18635,365
2:05:10,2:08:30,18635,18630,0
2:08:35,2:31:05,18630,18625,1246
2:31:10,2:33:00,18630,18635,139
2:33:05,2:37:50,18630,18625,295
2:37:55,2:38:40,18625,18620,63
2:38:45,2:46:00,18620,18615,528
2:46:05,2:47:15,18620,18625,77
2:47:20,2:51:35,18625,18630,235
2:51:45,2:58:55,18625,18620,333
2:59:05,3:00:05,18625,18630,81
3:00:10,3:03:15,18625,18620,370
3:03:20,3:03:20,18625,18630,33
3:03:25,3:04:05,18630,18635,227
3:04:10,3:07:10,18635,18640,462
3:07:15,3:11:35,18640,18645,386
3:11:40,3:13:50,18645,18650,301
3:14:00,3:14:35,18645,18640,131
3:14:40,3:15:20,18640,18635,77
3:15:25,3:15:30,18635,18630,62
3:15:35,3:16:05,18630,18625,131
3:16:10,3:16:20,18625,18620,69
3:16:25,3:16:25,18620,18615,33
3:16:30,3:22:50,18615,18610,859
3:22:55,3:25:35,18615,18620,218
3:25:40,3:26:05,18620,18625,100
3:26:10,3:26:35,18625,18630,262
3:26:10,3:26:35,18630,18635,0
3:26:40,3:29:30,18635,18640,260
3:29:35,3:30:50,18640,18645,210
3:30:55,3:35:40,18640,18635,404
3:35:45,3:36:30,18640,18645,373
3:36:35,3:38:00,18640,18635,83
3:38:05,3:39:45,18640,18645,201
3:39:50,3:40:00,18645,18650,27
3:40:05,3:40:15,18650,18655,136
3:40:20,3:40:30,18655,18660,27
3:40:35,3:41:00,18660,18665,207
3:40:35,3:41:00,18665,18670,0
