Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/9/2024 7:27:00,8/9/2024 7:27:30,18540,18535,400,18547,18545,453
8/9/2024 7:27:35,8/9/2024 7:27:35,18535,18530,49,18540,18540,451
8/9/2024 7:27:40,8/9/2024 7:29:30,18530,18525,744,18535,18535,450
8/9/2024 7:29:35,8/9/2024 7:31:50,18530,18535,352,18533,18535,459
8/9/2024 7:31:55,8/9/2024 7:32:00,18530,18525,52,18530,18530,450
8/9/2024 7:32:05,8/9/2024 7:33:30,18525,18515,670,18526,18525,444
8/9/2024 7:33:35,8/9/2024 7:34:20,18515,18505,383,18521,18525,440
8/9/2024 7:34:25,8/9/2024 7:34:30,18510,18515,129,18519,18515,452
8/9/2024 7:34:35,8/9/2024 7:34:40,18515,18520,41,18516,18515,453
8/9/2024 7:34:45,8/9/2024 7:35:10,18520,18525,224,18516,18515,455
8/9/2024 7:35:15,8/9/2024 7:35:55,18525,18530,182,18519,18520,457
8/9/2024 7:36:00,8/9/2024 7:36:25,18525,18520,111,18522,18520,448
8/9/2024 7:36:30,8/9/2024 7:37:20,18520,18515,122,18522,18520,446
8/9/2024 7:37:25,8/9/2024 7:38:25,18515,18510,196,18520,18520,445
8/9/2024 7:38:30,8/9/2024 7:38:35,18510,18505,84,18516,18515,443
8/9/2024 7:38:40,8/9/2024 7:40:20,18505,18500,774,18510,18510,441
8/9/2024 7:40:25,8/9/2024 7:40:25,18500,18495,66,18505,18505,439
8/9/2024 7:40:30,8/9/2024 7:41:45,18495,18490,310,18500,18500,438
8/9/2024 7:41:50,8/9/2024 7:42:10,18495,18500,77,18498,18500,447
8/9/2024 7:42:15,8/9/2024 7:42:50,18500,18505,312,18498,18500,448
8/9/2024 7:42:55,8/9/2024 7:45:25,18500,18495,497,18497,18495,439
8/9/2024 7:45:30,8/9/2024 7:47:10,18500,18505,258,18499,18500,448
8/9/2024 7:47:15,8/9/2024 7:49:20,18505,18510,399,18503,18505,450
8/9/2024 7:49:25,8/9/2024 7:51:20,18505,18500,301,18503,18505,441
8/9/2024 7:51:25,8/9/2024 7:51:45,18505,18510,123,18504,18505,450
8/9/2024 7:51:50,8/9/2024 7:51:50,18510,18515,36,18508,18510,452
8/9/2024 7:51:55,8/9/2024 7:52:10,18515,18520,126,18511,18510,453
8/9/2024 7:52:15,8/9/2024 8:01:05,18520,18525,1323,18514,18515,455
8/9/2024 8:01:10,8/9/2024 8:03:00,18520,18515,236,18517,18515,446
8/9/2024 8:03:05,8/9/2024 8:03:05,18515,18510,16,18517,18515,445
8/9/2024 8:03:10,8/9/2024 8:03:15,18510,18505,66,18515,18515,443
8/9/2024 8:03:20,8/9/2024 8:04:30,18505,18500,338,18511,18510,441
8/9/2024 8:04:35,8/9/2024 8:04:50,18500,18495,108,18505,18505,439
8/9/2024 8:04:55,8/9/2024 8:05:00,18495,18490,102,18500,18500,438
8/9/2024 8:05:05,8/9/2024 8:05:15,18490,18485,107,18495,18495,436
8/9/2024 8:05:20,8/9/2024 8:06:20,18485,18480,513,18490,18490,434
8/9/2024 8:06:25,8/9/2024 8:06:25,18480,18475,34,18485,18485,433
8/9/2024 8:06:30,8/9/2024 8:09:10,18475,18470,1219,18480,18480,431
8/9/2024 8:09:15,8/9/2024 8:14:00,18470,18465,841,18475,18475,429
