Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
8/11/2024 22:16:25,8/11/2024 22:19:50,18620,18625,156
8/11/2024 22:19:55,8/11/2024 22:26:15,18625,18630,184
8/11/2024 22:26:20,8/11/2024 22:30:15,18630,18635,227
8/11/2024 22:30:20,8/11/2024 22:35:55,18635,18640,231
8/11/2024 22:36:05,8/11/2024 22:39:00,18640,18645,122
8/11/2024 22:39:05,8/11/2024 22:40:30,18645,18650,135
8/11/2024 22:40:40,8/11/2024 22:53:10,18645,18640,300
8/11/2024 22:53:15,8/11/2024 22:53:15,18645,18650,14
8/11/2024 22:53:20,8/11/2024 23:06:45,18650,18655,782
8/11/2024 22:53:20,8/11/2024 23:06:45,18655,18660,0
8/11/2024 23:06:55,8/11/2024 23:13:10,18655,18650,189
8/11/2024 23:13:15,8/11/2024 23:17:45,18655,18660,212
8/11/2024 23:18:00,8/11/2024 23:29:55,18655,18650,314
8/11/2024 23:30:00,8/11/2024 23:30:20,18650,18645,65
8/11/2024 23:30:25,8/11/2024 23:32:45,18645,18640,197
8/11/2024 23:32:50,8/11/2024 23:32:50,18640,18635,26
8/11/2024 23:32:55,8/11/2024 23:36:50,18635,18630,188
8/11/2024 23:36:55,8/11/2024 23:39:35,18630,18625,396
8/11/2024 23:36:55,8/11/2024 23:39:35,18625,18620,0
8/11/2024 23:39:40,8/11/2024 23:40:35,18625,18630,48
8/11/2024 23:40:40,8/11/2024 23:44:30,18625,18620,145
8/11/2024 23:44:50,8/11/2024 23:58:05,18625,18630,377
8/11/2024 23:58:10,8/12/2024 0:09:55,18630,18635,392
8/12/2024 0:10:00,8/12/2024 0:10:15,18630,18625,200
8/12/2024 0:10:20,8/12/2024 0:10:35,18630,18635,42
8/12/2024 0:10:40,8/12/2024 0:10:55,18635,18640,22
8/12/2024 0:11:05,8/12/2024 0:35:25,18635,18630,551
8/12/2024 0:35:35,8/12/2024 0:43:55,18635,18640,257
8/12/2024 0:44:30,8/12/2024 0:46:20,18640,18645,85
8/12/2024 0:46:25,8/12/2024 1:05:15,18645,18650,483
8/12/2024 1:05:20,8/12/2024 1:15:55,18650,18655,347
8/12/2024 1:16:00,8/12/2024 1:33:10,18650,18645,512
8/12/2024 1:33:15,8/12/2024 1:54:45,18645,18640,783
8/12/2024 1:54:50,8/12/2024 2:04:50,18645,18650,804
8/12/2024 2:04:55,8/12/2024 2:05:05,18645,18640,45
8/12/2024 2:05:10,8/12/2024 2:08:30,18640,18635,365
8/12/2024 2:05:10,8/12/2024 2:08:30,18635,18630,0
8/12/2024 2:08:35,8/12/2024 2:31:05,18630,18625,1246
8/12/2024 2:31:10,8/12/2024 2:33:00,18630,18635,139
8/12/2024 2:33:05,8/12/2024 2:37:50,18630,18625,295
8/12/2024 2:37:55,8/12/2024 2:38:40,18625,18620,63
8/12/2024 2:38:45,8/12/2024 2:46:00,18620,18615,528
8/12/2024 2:46:05,8/12/2024 2:47:15,18620,18625,77
8/12/2024 2:47:20,8/12/2024 2:51:35,18625,18630,235
8/12/2024 2:51:45,8/12/2024 2:58:55,18625,18620,333
8/12/2024 2:59:05,8/12/2024 3:00:05,18625,18630,81
8/12/2024 3:00:10,8/12/2024 3:03:15,18625,18620,370
8/12/2024 3:03:20,8/12/2024 3:03:20,18625,18630,33
8/12/2024 3:03:25,8/12/2024 3:04:05,18630,18635,227
8/12/2024 3:04:10,8/12/2024 3:07:10,18635,18640,462
8/12/2024 3:07:15,8/12/2024 3:11:35,18640,18645,386
8/12/2024 3:11:40,8/12/2024 3:13:50,18645,18650,301
8/12/2024 3:14:00,8/12/2024 3:14:35,18645,18640,131
8/12/2024 3:14:40,8/12/2024 3:15:20,18640,18635,77
8/12/2024 3:15:25,8/12/2024 3:15:30,18635,18630,62
8/12/2024 3:15:35,8/12/2024 3:16:05,18630,18625,131
8/12/2024 3:16:10,8/12/2024 3:16:20,18625,18620,69
8/12/2024 3:16:25,8/12/2024 3:16:25,18620,18615,33
8/12/2024 3:16:30,8/12/2024 3:22:50,18615,18610,859
8/12/2024 3:22:55,8/12/2024 3:25:35,18615,18620,218
8/12/2024 3:25:40,8/12/2024 3:26:05,18620,18625,100
8/12/2024 3:26:10,8/12/2024 3:26:35,18625,18630,262
8/12/2024 3:26:10,8/12/2024 3:26:35,18630,18635,0
8/12/2024 3:26:40,8/12/2024 3:29:30,18635,18640,260
8/12/2024 3:29:35,8/12/2024 3:30:50,18640,18645,210
8/12/2024 3:30:55,8/12/2024 3:35:40,18640,18635,404
8/12/2024 3:35:45,8/12/2024 3:36:30,18640,18645,373
8/12/2024 3:36:35,8/12/2024 3:38:00,18640,18635,83
8/12/2024 3:38:05,8/12/2024 3:39:45,18640,18645,201
8/12/2024 3:39:50,8/12/2024 3:40:00,18645,18650,27
8/12/2024 3:40:05,8/12/2024 3:40:15,18650,18655,136
8/12/2024 3:40:20,8/12/2024 3:40:30,18655,18660,27
8/12/2024 3:40:35,8/12/2024 3:41:00,18660,18665,207
8/12/2024 3:40:35,8/12/2024 3:41:00,18665,18670,0
8/12/2024 3:41:05,8/12/2024 3:41:55,18665,18660,114
8/12/2024 3:42:00,8/12/2024 3:46:40,18660,18655,295
8/12/2024 3:46:55,8/12/2024 3:51:05,18660,18665,322
8/12/2024 3:51:10,8/12/2024 3:51:10,18665,18670,3
8/12/2024 3:51:15,8/12/2024 3:56:20,18670,18675,1124
8/12/2024 3:51:15,8/12/2024 3:56:20,18675,18680,0
8/12/2024 3:51:15,8/12/2024 3:56:20,18680,18685,0
8/12/2024 3:56:25,8/12/2024 3:58:35,18680,18675,184
8/12/2024 3:58:40,8/12/2024 3:59:35,18675,18670,113
8/12/2024 3:59:40,8/12/2024 4:03:05,18675,18680,474
8/12/2024 4:03:10,8/12/2024 4:04:15,18675,18670,205
8/12/2024 4:04:20,8/12/2024 4:06:20,18675,18680,135
8/12/2024 4:06:25,8/12/2024 4:10:45,18680,18685,350
8/12/2024 4:10:55,8/12/2024 4:16:15,18680,18675,471
8/12/2024 4:16:20,8/12/2024 4:25:10,18675,18670,567
8/12/2024 4:25:15,8/12/2024 4:31:20,18675,18680,602
8/12/2024 4:31:25,8/12/2024 4:36:45,18675,18670,326
8/12/2024 4:36:50,8/12/2024 4:37:00,18670,18665,54
8/12/2024 4:37:05,8/12/2024 4:38:05,18665,18660,184
8/12/2024 4:38:10,8/12/2024 4:46:50,18660,18655,618
8/12/2024 4:46:55,8/12/2024 4:50:55,18655,18650,277
8/12/2024 4:51:00,8/12/2024 4:55:10,18650,18645,336
8/12/2024 4:55:15,8/12/2024 4:58:40,18645,18640,173
8/12/2024 4:58:45,8/12/2024 4:59:40,18640,18635,140
8/12/2024 4:59:45,8/12/2024 5:03:45,18635,18630,307
8/12/2024 5:04:00,8/12/2024 5:13:45,18635,18640,508
8/12/2024 5:13:50,8/12/2024 5:17:10,18640,18645,281
8/12/2024 5:17:15,8/12/2024 5:20:15,18645,18650,216
8/12/2024 5:20:20,8/12/2024 5:27:10,18650,18655,347
8/12/2024 5:27:15,8/12/2024 5:27:35,18650,18645,61
8/12/2024 5:27:40,8/12/2024 5:38:35,18645,18640,394
8/12/2024 5:38:40,8/12/2024 5:39:15,18645,18650,123
8/12/2024 5:39:20,8/12/2024 5:40:00,18650,18655,119
8/12/2024 5:40:05,8/12/2024 5:47:15,18655,18660,368
8/12/2024 5:47:20,8/12/2024 5:56:15,18655,18650,472
8/12/2024 5:56:20,8/12/2024 5:59:15,18655,18660,189
8/12/2024 5:59:20,8/12/2024 6:02:20,18655,18650,205
8/12/2024 6:02:35,8/12/2024 6:02:40,18650,18645,73
8/12/2024 6:02:45,8/12/2024 6:05:35,18645,18640,187
8/12/2024 6:05:40,8/12/2024 6:10:55,18640,18635,226
8/12/2024 6:11:05,8/12/2024 6:12:20,18640,18645,156
8/12/2024 6:12:25,8/12/2024 6:16:10,18645,18650,227
8/12/2024 6:16:15,8/12/2024 6:20:40,18650,18655,252
8/12/2024 6:20:45,8/12/2024 6:21:10,18655,18660,64
8/12/2024 6:21:15,8/12/2024 6:35:35,18660,18665,807
8/12/2024 6:35:50,8/12/2024 6:37:25,18665,18670,75
8/12/2024 6:37:30,8/12/2024 6:41:25,18665,18660,168
8/12/2024 6:41:35,8/12/2024 6:52:25,18665,18670,402
8/12/2024 6:52:30,8/12/2024 7:00:25,18665,18660,650
8/12/2024 7:00:30,8/12/2024 7:04:35,18660,18655,651
8/12/2024 7:04:40,8/12/2024 7:06:50,18655,18650,128
8/12/2024 7:06:55,8/12/2024 7:12:55,18655,18660,364
8/12/2024 7:13:00,8/12/2024 7:13:35,18660,18665,75
8/12/2024 7:13:45,8/12/2024 7:19:15,18665,18670,520
8/12/2024 7:19:20,8/12/2024 7:22:55,18670,18675,495
8/12/2024 7:23:00,8/12/2024 7:30:10,18675,18680,757
8/12/2024 7:30:15,8/12/2024 7:31:10,18675,18670,54
8/12/2024 7:31:25,8/12/2024 7:32:20,18670,18665,215
8/12/2024 7:32:25,8/12/2024 7:33:40,18665,18660,117
8/12/2024 7:33:45,8/12/2024 7:44:45,18660,18655,807
